select t.term, a.* 
from ALL_Allele_Mutation a, VOC_Term t
where not exists (select 1 from ALL_Allele b where a._allele_key = b._allele_key)
and a._mutation_key = t._term_key
;
             term              | _allele_key | _mutation_key |    creation_date    |  modification_date  
-------------------------------+-------------+---------------+---------------------+---------------------
 Insertion of gene trap vector |       75850 |       3983022 | 2009-08-11 09:48:07 | 2009-08-11 09:48:07
 Insertion of gene trap vector |       76112 |       3983022 | 2009-08-11 09:48:24 | 2009-08-11 09:48:24
 Insertion of gene trap vector |       76179 |       3983022 | 2009-08-11 09:48:28 | 2009-08-11 09:48:28
 Insertion of gene trap vector |       76180 |       3983022 | 2009-08-11 09:48:28 | 2009-08-11 09:48:28
 Insertion of gene trap vector |       76189 |       3983022 | 2009-08-11 09:48:29 | 2009-08-11 09:48:29
 Insertion of gene trap vector |       76194 |       3983022 | 2009-08-11 09:48:29 | 2009-08-11 09:48:29
 Insertion of gene trap vector |       76195 |       3983022 | 2009-08-11 09:48:29 | 2009-08-11 09:48:29
 Insertion of gene trap vector |       76198 |       3983022 | 2009-08-11 09:48:29 | 2009-08-11 09:48:29
 Insertion of gene trap vector |       76208 |       3983022 | 2009-08-11 09:48:30 | 2009-08-11 09:48:30
 Insertion of gene trap vector |       76333 |       3983022 | 2009-08-11 09:48:38 | 2009-08-11 09:48:38
 Insertion of gene trap vector |       76420 |       3983022 | 2009-08-11 09:48:44 | 2009-08-11 09:48:44
 Insertion of gene trap vector |       76427 |       3983022 | 2009-08-11 09:48:44 | 2009-08-11 09:48:44
 Insertion of gene trap vector |       77087 |       3983022 | 2009-08-11 09:49:26 | 2009-08-11 09:49:26
 Insertion of gene trap vector |       77470 |       3983022 | 2009-08-11 09:49:51 | 2009-08-11 09:49:51
 Insertion of gene trap vector |       77570 |       3983022 | 2009-08-11 09:49:57 | 2009-08-11 09:49:57
 Insertion of gene trap vector |       77600 |       3983022 | 2009-08-11 09:49:59 | 2009-08-11 09:49:59
 Insertion of gene trap vector |       77654 |       3983022 | 2009-08-11 09:50:02 | 2009-08-11 09:50:02
 Insertion of gene trap vector |       77657 |       3983022 | 2009-08-11 09:50:02 | 2009-08-11 09:50:02
 Insertion of gene trap vector |       78014 |       3983022 | 2009-08-11 09:50:25 | 2009-08-11 09:50:25
 Insertion of gene trap vector |       78557 |       3983022 | 2009-08-11 09:51:02 | 2009-08-11 09:51:02
 Insertion of gene trap vector |       78663 |       3983022 | 2009-08-11 09:51:09 | 2009-08-11 09:51:09
 Insertion of gene trap vector |       78983 |       3983022 | 2009-08-11 09:51:30 | 2009-08-11 09:51:30
 Insertion of gene trap vector |       79000 |       3983022 | 2009-08-11 09:51:31 | 2009-08-11 09:51:31
 Insertion of gene trap vector |       79030 |       3983022 | 2009-08-11 09:51:33 | 2009-08-11 09:51:33
 Insertion of gene trap vector |       79061 |       3983022 | 2009-08-11 09:51:35 | 2009-08-11 09:51:35
 Insertion of gene trap vector |       79105 |       3983022 | 2009-08-11 09:51:38 | 2009-08-11 09:51:38
 Insertion of gene trap vector |       79242 |       3983022 | 2009-08-11 09:51:47 | 2009-08-11 09:51:47
 Insertion of gene trap vector |       84332 |       3983022 | 2009-08-11 09:57:26 | 2009-08-11 09:57:26
 Insertion of gene trap vector |       84337 |       3983022 | 2009-08-11 09:57:26 | 2009-08-11 09:57:26
 Insertion of gene trap vector |       84374 |       3983022 | 2009-08-11 09:57:28 | 2009-08-11 09:57:28
 Insertion of gene trap vector |       84375 |       3983022 | 2009-08-11 09:57:28 | 2009-08-11 09:57:28
 Insertion of gene trap vector |       84378 |       3983022 | 2009-08-11 09:57:29 | 2009-08-11 09:57:29
 Insertion of gene trap vector |       84381 |       3983022 | 2009-08-11 09:57:29 | 2009-08-11 09:57:29
 Insertion of gene trap vector |       84386 |       3983022 | 2009-08-11 09:57:29 | 2009-08-11 09:57:29
 Insertion of gene trap vector |       84387 |       3983022 | 2009-08-11 09:57:29 | 2009-08-11 09:57:29
 Insertion of gene trap vector |       84392 |       3983022 | 2009-08-11 09:57:30 | 2009-08-11 09:57:30
 Insertion of gene trap vector |       84401 |       3983022 | 2009-08-11 09:57:30 | 2009-08-11 09:57:30
 Insertion of gene trap vector |       84404 |       3983022 | 2009-08-11 09:57:30 | 2009-08-11 09:57:30
 Insertion of gene trap vector |       84442 |       3983022 | 2009-08-11 09:57:33 | 2009-08-11 09:57:33
 Insertion of gene trap vector |       84556 |       3983022 | 2009-08-11 09:57:41 | 2009-08-11 09:57:41
 Insertion of gene trap vector |       84580 |       3983022 | 2009-08-11 09:57:43 | 2009-08-11 09:57:43
 Insertion of gene trap vector |       84622 |       3983022 | 2009-08-11 09:57:46 | 2009-08-11 09:57:46
 Insertion of gene trap vector |       84652 |       3983022 | 2009-08-11 09:57:48 | 2009-08-11 09:57:48
 Insertion of gene trap vector |       84657 |       3983022 | 2009-08-11 09:57:48 | 2009-08-11 09:57:48
 Insertion of gene trap vector |       84662 |       3983022 | 2009-08-11 09:57:48 | 2009-08-11 09:57:48
 Insertion of gene trap vector |       84663 |       3983022 | 2009-08-11 09:57:48 | 2009-08-11 09:57:48
 Insertion of gene trap vector |       84672 |       3983022 | 2009-08-11 09:57:49 | 2009-08-11 09:57:49
 Insertion of gene trap vector |       84673 |       3983022 | 2009-08-11 09:57:49 | 2009-08-11 09:57:49
 Insertion of gene trap vector |       84730 |       3983022 | 2009-08-11 09:57:53 | 2009-08-11 09:57:53
 Insertion of gene trap vector |       84743 |       3983022 | 2009-08-11 09:57:54 | 2009-08-11 09:57:54
 Insertion of gene trap vector |       85109 |       3983022 | 2009-08-11 09:58:18 | 2009-08-11 09:58:18
 Insertion of gene trap vector |       88205 |       3983022 | 2009-08-11 10:01:48 | 2009-08-11 10:01:48
 Insertion of gene trap vector |       88223 |       3983022 | 2009-08-11 10:01:49 | 2009-08-11 10:01:49
 Insertion of gene trap vector |       88386 |       3983022 | 2009-08-11 10:02:00 | 2009-08-11 10:02:00
 Insertion of gene trap vector |       88520 |       3983022 | 2009-08-11 10:02:09 | 2009-08-11 10:02:09
 Insertion of gene trap vector |       88744 |       3983022 | 2009-08-11 10:02:24 | 2009-08-11 10:02:24
 Insertion of gene trap vector |       88854 |       3983022 | 2009-08-11 10:02:31 | 2009-08-11 10:02:31
 Insertion of gene trap vector |       88855 |       3983022 | 2009-08-11 10:02:31 | 2009-08-11 10:02:31
 Insertion of gene trap vector |       88868 |       3983022 | 2009-08-11 10:02:32 | 2009-08-11 10:02:32
 Insertion of gene trap vector |       88870 |       3983022 | 2009-08-11 10:02:32 | 2009-08-11 10:02:32
 Insertion of gene trap vector |       88925 |       3983022 | 2009-08-11 10:02:36 | 2009-08-11 10:02:36
